Geo_FIPS,SE_T017_001,SE_T017_002,SE_T017_003,SE_T017_004,SE_T017_005,SE_T017_006,SE_T017_007,SE_T017_008,SE_T017_009
48201412900,2188,957,691,266,74,192,1231,586,645
48201413000,1564,945,878,67,3,64,619,225,394
48201413100,1149,950,859,91,29,62,199,68,131
48201413201,1623,504,427,77,24,53,1119,458,661
48201413202,1948,647,492,155,34,121,1301,542,759
48201413300,3256,1927,1502,425,138,287,1329,459,870
48201420100,1486,628,257,371,78,293,858,546,312
48201420200,931,636,431,205,61,144,295,152,143
48201420300,1564,881,625,256,40,216,683,248,435
48201420400,1490,912,801,111,22,89,578,286,292
48201420500,1196,837,461,376,77,299,359,196,163
48201420600,958,590,503,87,14,73,368,194,174
48201420700,1214,943,789,154,32,122,271,126,145
48201420800,874,686,626,60,15,45,188,54,134
48201420900,2184,1834,1633,201,152,49,350,155,195
48201421000,966,784,691,93,24,69,182,88,94
48201421101,1508,659,442,217,51,166,849,581,268
48201421102,1533,1100,662,438,210,228,433,303,130
48201421201,1798,860,541,319,163,156,938,708,230
48201421202,1335,811,516,295,101,194,524,495,29
48201421300,2331,1517,922,595,155,440,814,570,244
48201421401,1251,791,429,362,202,160,460,383,77
48201421402,1174,862,552,310,117,193,312,255,57
48201421403,1289,877,570,307,97,210,412,285,127
48201421500,2615,1227,557,670,154,516,1388,795,593
48201421600,2102,1541,790,751,268,483,561,298,263
48201421700,1851,1277,893,384,90,294,574,165,409
48201421800,2524,1194,782,412,114,298,1330,540,790
48201421900,1108,808,735,73,19,54,300,108,192
48201422000,1028,759,624,135,8,127,269,144,125
48201422100,1818,1248,863,385,85,300,570,191,379
48201422200,2092,1081,397,684,119,565,1011,415,596
48201422301,2715,1703,850,853,183,670,1012,531,481
48201422302,931,574,287,287,28,259,357,168,189
48201422401,1761,1002,670,332,83,249,759,371,388
48201422402,1896,1381,789,592,199,393,515,228,287
48201422500,2570,1861,1220,641,164,477,709,482,227
48201422600,2193,1527,923,604,173,431,666,290,376
48201422701,1681,1107,813,294,73,221,574,269,305
48201422702,1117,768,514,254,110,144,349,174,175
48201422800,1261,764,494,270,104,166,497,220,277
48201422900,1715,1035,552,483,122,361,680,350,330
48201423000,1910,1244,726,518,212,306,666,450,216
48201423100,966,475,240,235,41,194,491,387,104
48201423201,1048,701,509,192,18,174,347,91,256
48201423202,2715,1825,798,1027,187,840,890,400,490
48201423301,1914,1240,682,558,60,498,674,395,279
48201423302,2337,1349,756,593,12,581,988,495,493
48201423401,1833,1320,794,526,167,359,513,187,326
48201423402,1399,1034,752,282,22,260,365,147,218
48201423500,708,543,453,90,23,67,165,87,78
48201423600,2356,1640,895,745,123,622,716,269,447
48201430100,3042,1732,1306,426,96,330,1310,700,610
48201430200,737,411,314,97,56,41,326,184,142
48201430300,1533,1318,1243,75,25,50,215,42,173
48201430400,1137,998,961,37,7,30,139,66,73
48201430500,983,665,552,113,7,106,318,164,154
48201430600,1221,1103,1056,47,19,28,118,13,105
48201430700,1578,767,672,95,13,82,811,380,431
48201430800,1987,1344,1157,187,46,141,643,325,318
48201430900,2572,1770,1435,335,57,278,802,261,541
48201431000,2462,1730,1595,135,35,100,732,290,442
48201431101,2094,526,391,135,20,115,1568,991,577
48201431102,1995,683,369,314,0,314,1312,553,759
48201431201,2177,812,590,222,25,197,1365,663,702
48201431202,2520,990,671,319,64,255,1530,1000,530
48201431301,2733,1062,633,429,184,245,1671,1000,671
48201431302,1826,967,818,149,67,82,859,400,459
48201431401,1188,371,235,136,0,136,817,358,459
48201431402,2232,597,421,176,36,140,1635,808,827
48201431501,2413,632,559,73,14,59,1781,567,1214
48201431502,1781,942,848,94,16,78,839,464,375
48201431600,1628,823,752,71,57,14,805,228,577
48201431700,2034,1384,1294,90,45,45,650,238,412
48201431801,1784,733,670,63,9,54,1051,699,352
48201431802,2035,667,444,223,15,208,1368,845,523
48201431900,2210,638,553,85,0,85,1572,831,741
48201432001,1894,676,522,154,33,121,1218,679,539
48201432002,2332,1045,707,338,134,204,1287,807,480
48201432100,2380,1415,926,489,174,315,965,557,408
48201432200,2086,876,746,130,7,123,1210,714,496
48201432300,3370,1555,933,622,182,440,1815,1026,789
48201432400,2912,1169,506,663,218,445,1743,702,1041
48201432500,2396,1304,800,504,103,401,1092,671,421
48201432600,819,520,329,191,38,153,299,166,133
48201432701,2049,1337,675,662,282,380,712,548,164
48201432702,1489,762,475,287,145,142,727,334,393
48201432801,2016,1080,553,527,124,403,936,683,253
48201432802,2352,1231,554,677,204,473,1121,665,456
48201432901,1061,773,421,352,76,276,288,228,60
48201432902,2335,1616,945,671,210,461,719,512,207
48201433001,1829,1179,744,435,193,242,650,477,173
48201433002,1500,1029,678,351,111,240,471,298,173
48201433003,1704,1194,760,434,138,296,510,325,185
48201433100,1131,832,445,387,109,278,299,249,50
48201433201,1819,1211,690,521,190,331,608,283,325
48201433202,1308,1039,670,369,152,217,269,121,148
48201433300,1669,1274,806,468,178,290,395,175,220
48201433400,1711,1054,637,417,174,243,657,501,156
48201433501,1703,1059,429,630,132,498,644,483,161
48201433502,2213,1270,614,656,167,489,943,733,210
48201433600,1867,966,421,545,144,401,901,498,403
48201440100,2490,1656,1113,543,238,305,834,518,316
48201450100,738,508,377,131,4,127,230,47,183
48201450200,1623,1348,1203,145,31,114,275,71,204
48201450300,2797,1742,1204,538,132,406,1055,504,551
48201450400,2167,1213,787,426,92,334,954,398,556
48201450500,1209,965,931,34,14,20,244,134,110
48201450600,1705,1139,924,215,83,132,566,225,341
48201450700,2375,1925,1753,172,58,114,450,187,263
48201450801,1086,345,218,127,0,127,741,407,334
48201450802,2820,1914,1315,599,79,520,906,414,492
48201450900,1160,804,617,187,67,120,356,109,247
48201451001,2265,1248,766,482,68,414,1017,396,621
48201451002,2340,1341,480,861,30,831,999,607,392
48201451100,2067,1052,862,190,16,174,1015,325,690
48201451200,1086,901,735,166,36,130,185,66,119
48201451300,2869,1931,1645,286,37,249,938,380,558
48201451401,1771,859,653,206,2,204,912,514,398
48201451402,2592,1065,566,499,76,423,1527,856,671
48201451403,2437,1101,687,414,115,299,1336,667,669
48201451500,2569,1141,792,349,98,251,1428,799,629
48201451601,2869,1749,1565,184,42,142,1120,421,699
48201451602,2864,2047,1651,396,94,302,817,544,273
48201451700,1637,868,476,392,107,285,769,377,392
48201451800,2039,1447,915,532,161,371,592,221,371
48201451901,3155,1843,826,1017,272,745,1312,660,652
48201451902,879,681,519,162,77,85,198,136,62
48201452000,3533,1875,1148,727,94,633,1658,773,885
48201452100,4274,2356,1610,746,91,655,1918,892,1026
48201452201,2663,962,511,451,70,381,1701,801,900
48201452202,1441,409,184,225,111,114,1032,581,451
48201452300,713,536,392,144,35,109,177,95,82
48201452400,2413,1951,1174,777,170,607,462,260,202
48201452500,2467,1944,1170,774,337,437,523,203,320
48201452600,2231,1854,1116,738,119,619,377,220,157
48201452700,3419,2528,1720,808,147,661,891,295,596
48201452801,1889,1375,748,627,177,450,514,261,253
48201452802,1788,1375,656,719,202,517,413,244,169
48201452900,1194,950,696,254,105,149,244,182,62
48201453000,2029,1750,1065,685,293,392,279,137,142
48201453100,1543,1041,484,557,166,391,502,306,196
48201453200,2609,1805,1078,727,277,450,804,498,306
48201453300,1296,619,258,361,114,247,677,371,306
48201453401,1029,772,490,282,119,163,257,104,153
