FID,OBJECTID,Join_Count,TARGET_FID,JOIN_FID,GEOID,NAMELSAD,ALAND,AWATER,INTPTLAT,INTPTLON,KCTA_NAME_,KCTA_ID,Region,Shape_Leng,Shape_Area
32,33,1,8,70,48201210900,Census Tract 2109,1260606.000000000000000,0.000000000000000,+29.8041585,-95.3312426,Kashmere Gardens,K004,Inner Loop,15037.893394299999000,13566116.452400001000000
33,34,1,8,130,48201210900,Census Tract 2109,1260606.000000000000000,0.000000000000000,+29.8041585,-95.3312426,Trinity / Houston Gardens,K047,BW 8,15037.893394299999000,13566116.452400001000000
34,35,1,9,47,48201211000,Census Tract 2110,1119664.000000000000000,0.000000000000000,+29.7970912,-95.3321489,Fifth Ward,K003,Inner Loop,15290.202387300000000,12049395.845400000000000
35,36,1,9,70,48201211000,Census Tract 2110,1119664.000000000000000,0.000000000000000,+29.7970912,-95.3321489,Kashmere Gardens,K004,Inner Loop,15290.202387300000000,12049395.845400000000000
36,37,1,10,34,48201211100,Census Tract 2111,2388485.000000000000000,0.000000000000000,+29.7870751,-95.3320395,Denver Harbor / Port Houston,K005,Inner Loop,24736.249169999999000,25703947.233300000000000
37,38,1,10,47,48201211100,Census Tract 2111,2388485.000000000000000,0.000000000000000,+29.7870751,-95.3320395,Fifth Ward,K003,Inner Loop,24736.249169999999000,25703947.233300000000000
38,39,1,10,70,48201211100,Census Tract 2111,2388485.000000000000000,0.000000000000000,+29.7870751,-95.3320395,Kashmere Gardens,K004,Inner Loop,24736.249169999999000,25703947.233300000000000
39,40,1,10,99,48201211100,Census Tract 2111,2388485.000000000000000,0.000000000000000,+29.7870751,-95.3320395,Near Northside,K002,Inner Loop,24736.249169999999000,25703947.233300000000000
40,41,1,11,47,48201211200,Census Tract 2112,1702869.000000000000000,0.000000000000000,+29.7981731,-95.3203735,Fifth Ward,K003,Inner Loop,20378.838496799999000,18325607.859000001000000
41,42,1,11,70,48201211200,Census Tract 2112,1702869.000000000000000,0.000000000000000,+29.7981731,-95.3203735,Kashmere Gardens,K004,Inner Loop,20378.838496799999000,18325607.859000001000000
42,43,1,11,130,48201211200,Census Tract 2112,1702869.000000000000000,0.000000000000000,+29.7981731,-95.3203735,Trinity / Houston Gardens,K047,BW 8,20378.838496799999000,18325607.859000001000000
43,44,1,12,34,48201211300,Census Tract 2113,2758000.000000000000000,0.000000000000000,+29.7774400,-95.3274089,Denver Harbor / Port Houston,K005,Inner Loop,24903.686006899999000,29680437.006000001000000
44,45,1,12,47,48201211300,Census Tract 2113,2758000.000000000000000,0.000000000000000,+29.7774400,-95.3274089,Fifth Ward,K003,Inner Loop,24903.686006899999000,29680437.006000001000000
45,46,1,12,70,48201211300,Census Tract 2113,2758000.000000000000000,0.000000000000000,+29.7774400,-95.3274089,Kashmere Gardens,K004,Inner Loop,24903.686006899999000,29680437.006000001000000
46,47,1,12,99,48201211300,Census Tract 2113,2758000.000000000000000,0.000000000000000,+29.7774400,-95.3274089,Near Northside,K002,Inner Loop,24903.686006899999000,29680437.006000001000000
47,48,1,13,34,48201211400,Census Tract 2114,3618266.000000000000000,119588.000000000000000,+29.7657514,-95.3282383,Denver Harbor / Port Houston,K005,Inner Loop,30015.083387200000000,40225008.047899999000000
48,49,1,13,35,48201211400,Census Tract 2114,3618266.000000000000000,119588.000000000000000,+29.7657514,-95.3282383,Downtown,K001,Inner Loop,30015.083387200000000,40225008.047899999000000
49,50,1,13,47,48201211400,Census Tract 2114,3618266.000000000000000,119588.000000000000000,+29.7657514,-95.3282383,Fifth Ward,K003,Inner Loop,30015.083387200000000,40225008.047899999000000
50,51,1,13,108,48201211400,Census Tract 2114,3618266.000000000000000,119588.000000000000000,+29.7657514,-95.3282383,Pleasantville,K006,Inner Loop,30015.083387200000000,40225008.047899999000000
51,52,1,13,110,48201211400,Census Tract 2114,3618266.000000000000000,119588.000000000000000,+29.7657514,-95.3282383,Second Ward,K008,Inner Loop,30015.083387200000000,40225008.047899999000000
52,53,1,14,34,48201211500,Census Tract 2115,6045755.000000000000000,5307.000000000000000,+29.7666660,-95.2968872,Denver Harbor / Port Houston,K005,Inner Loop,35930.361448199998000,65118686.970399998000000
53,54,1,14,47,48201211500,Census Tract 2115,6045755.000000000000000,5307.000000000000000,+29.7666660,-95.2968872,Fifth Ward,K003,Inner Loop,35930.361448199998000,65118686.970399998000000
54,55,1,14,108,48201211500,Census Tract 2115,6045755.000000000000000,5307.000000000000000,+29.7666660,-95.2968872,Pleasantville,K006,Inner Loop,35930.361448199998000,65118686.970399998000000
55,56,1,15,34,48201211600,Census Tract 2116,1164502.000000000000000,0.000000000000000,+29.7809781,-95.3115453,Denver Harbor / Port Houston,K005,Inner Loop,14501.116257300000000,12531874.554800000000000
56,57,1,15,47,48201211600,Census Tract 2116,1164502.000000000000000,0.000000000000000,+29.7809781,-95.3115453,Fifth Ward,K003,Inner Loop,14501.116257300000000,12531874.554800000000000
57,58,1,16,34,48201211700,Census Tract 2117,4442125.000000000000000,4111.000000000000000,+29.7965959,-95.3043165,Denver Harbor / Port Houston,K005,Inner Loop,32916.282483499999000,47848792.102700002000000
58,59,1,16,42,48201211700,Census Tract 2117,4442125.000000000000000,4111.000000000000000,+29.7965959,-95.3043165,El Dorado / Oates Prairie,K051,BW 8,32916.282483499999000,47848792.102700002000000
59,60,1,16,47,48201211700,Census Tract 2117,4442125.000000000000000,4111.000000000000000,+29.7965959,-95.3043165,Fifth Ward,K003,Inner Loop,32916.282483499999000,47848792.102700002000000
60,61,1,16,70,48201211700,Census Tract 2117,4442125.000000000000000,4111.000000000000000,+29.7965959,-95.3043165,Kashmere Gardens,K004,Inner Loop,32916.282483499999000,47848792.102700002000000
61,62,1,16,111,48201211700,Census Tract 2117,4442125.000000000000000,4111.000000000000000,+29.7965959,-95.3043165,Settegast,K048,BW 8,32916.282483499999000,47848792.102700002000000
62,63,1,16,130,48201211700,Census Tract 2117,4442125.000000000000000,4111.000000000000000,+29.7965959,-95.3043165,Trinity / Houston Gardens,K047,BW 8,32916.282483499999000,47848792.102700002000000
63,64,1,17,34,48201211900,Census Tract 2119,1247524.000000000000000,0.000000000000000,+29.7838170,-95.2995098,Denver Harbor / Port Houston,K005,Inner Loop,15360.370077100000000,13425311.859900000000000
64,65,1,18,35,48201212300,Census Tract 2123,3214638.000000000000000,28436.000000000000000,+29.7747755,-95.3550489,Downtown,K001,Inner Loop,25906.554278200001000,34900447.909100004000000
65,66,1,18,47,48201212300,Census Tract 2123,3214638.000000000000000,28436.000000000000000,+29.7747755,-95.3550489,Fifth Ward,K003,Inner Loop,25906.554278200001000,34900447.909100004000000
66,67,1,18,58,48201212300,Census Tract 2123,3214638.000000000000000,28436.000000000000000,+29.7747755,-95.3550489,Heights,K030,Inner Loop,25906.554278200001000,34900447.909100004000000
